id,question,slug,category,tags,clobTokenIds,outcomes,outcomePrices,conditionId,active,closed,volumeNum,volume24hr,liquidity,liquidityNum,endDate,orderPriceMinTickSize,orderMinSize,resolutionSource,acceptingOrders,openInterest,createdAt,updatedAt
601697,Fed decreases interest rates by 50+ bps after January 2026 meeting?,fed-decreases-interest-rates-by-50-bps-after-january-2026-meeting,,,"[""11862165566757345985240476164489718219056735011698825377388402888080786399275"", ""71478852790279095447182996049071040792010759617668969799049179229104800573786""]","[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",0x17815081230e3b9c78b098162c33b1ffa68c4ec29c123d3d14989599e0c2e113,True,False,172073666.972695,5394628.346971999,9218681.7409,9218681.7409,2026-01-28T00:00:00Z,0.001,5,,True,,2025-09-17T16:22:35.837625Z,2026-01-20T09:06:31.639548Z
601700,Fed increases interest rates by 25+ bps after January 2026 meeting?,fed-increases-interest-rates-by-25-bps-after-january-2026-meeting,,,"[""16419649354067298412736919830777830730026677464626899811394461690794060330642"", ""42139849929574046088630785796780813725435914859433767469767950066058132350666""]","[""Yes"", ""No""]","[""0.0005"", ""0.9995""]",0x7c6c69d91b21cbbea08a13d0ad51c0e96a956045aaadc77bce507c6b0475b66e,True,False,163624993.227747,2614536.034,9856794.53412,9856794.53412,2026-01-28T00:00:00Z,0.001,5,,True,,2025-09-17T16:22:39.874792Z,2026-01-20T09:06:33.835375Z
601699,No change in Fed interest rates after January 2026 meeting?,no-change-in-fed-interest-rates-after-january-2026-meeting,,,"[""112838095111461683880944516726938163688341306245473734071798778736646352193304"", ""7321318078891059430231591636389479745928915782241484131001985601124919020061""]","[""Yes"", ""No""]","[""0.9675"", ""0.0325""]",0xe93c89c41d1bb08d3bb40066d8565df301a696563b2542256e6e8bbbb1ec490d,True,False,45703341.171159,1550375.1691890017,1095496.0418,1095496.0418,2026-01-28T00:00:00Z,0.001,5,,True,,2025-09-17T16:22:38.693526Z,2026-01-20T09:06:30.964516Z
601698,Fed decreases interest rates by 25 bps after January 2026 meeting?,fed-decreases-interest-rates-by-25-bps-after-january-2026-meeting,,,"[""92703761682322480664976766247614127878023988651992837287050266308961660624165"", ""48193521645113703700467246669338225849301704920590102230072263970163239985027""]","[""Yes"", ""No""]","[""0.0255"", ""0.9745""]",0x35cc41270f5cdfd59b45e68ab85dc51b0b900d286a6c74ea006b8572d9ff5934,True,False,44469827.847341,1767924.1030570003,832169.78998,832169.78998,2026-01-28T00:00:00Z,0.001,5,,True,,2025-09-17T16:22:37.437037Z,2026-01-20T09:06:37.208432Z
1106713,Khamenei out as Supreme Leader of Iran by January 31?,khamenei-out-as-supreme-leader-of-iran-by-january-31,,,"[""101434403359553929764780234916919166959889590658679054429843672204390513588056"", ""62595435619678438799673612599999067112702849851098967060818869994133628780778""]","[""Yes"", ""No""]","[""0.055"", ""0.945""]",0xa8b744720006da3c08b4dc8a61a5ce930542f550fcf8d27380ae898de636799d,True,False,37395084.637543,790763.8109709967,1126228.1538,1126228.1538,2026-01-31T00:00:00Z,0.01,5,,True,,2026-01-04T18:56:17.032325Z,2026-01-20T09:06:38.244275Z
566203,Will Leeds win the 2025–26 English Premier League?,will-leeds-win-the-202526-english-premier-league,,,"[""76060545169704703774306339799160632690199220587187333652682231353030966296372"", ""79742853692640441630014447218057231927327132180925275737649345065452061252209""]","[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",0xa4ff70673e8d6f76261400c0ffd9d7970bf6d8aec5f8f44b20434e59e3e3141e,True,False,33140451.461948,58987.08400000001,1013495.7282,1013495.7282,2026-05-27T00:00:00Z,0.001,5,,True,,2025-07-21T21:13:08.347001Z,2026-01-20T09:06:54.853084Z
559687,Will Oprah Winfrey win the 2028 Democratic presidential nomination?,will-oprah-winfrey-win-the-2028-democratic-presidential-nomination,,,"[""2213957649161627793381994368131485505647723208738124952452819345058597751695"", ""44046525152074436753629616217525652949736205933417533647338274649282385796755""]","[""Yes"", ""No""]","[""0.0055"", ""0.9945""]",0xe06a7e94cf2fa8dc2085b7610fe16e9be1cde6654f34d365c13da1149b276c61,True,False,29461605.471039,183517.18606400004,1266063.63133,1266063.63133,2028-11-07T00:00:00Z,0.001,5,,True,,2025-07-03T20:37:23.883364Z,2026-01-20T09:06:46.487172Z
566174,Will Slavia Pragu win the 2025–26 Champions League?,will-slavia-pragu-win-the-202526-champions-league,,,"[""101564510739658892373078552770639793245135038809362064410922020660639564617759"", ""34146754045968539016734059757762644473418677163720213182630410899169414081030""]","[""Yes"", ""No""]","[""0.0015"", ""0.9985""]",0xe371bb4a38f3714fc1ef7a8ecdaca8a8005aecead9ec95eb5ed8184ca55a94d7,True,False,28228669.714395,679687.744332,175833.69446,175833.69446,2026-05-31T00:00:00Z,0.001,5,,True,,2025-07-21T20:58:59.713048Z,2026-01-20T09:06:44.904335Z
559688,Will Andrew Yang win the 2028 Democratic presidential nomination?,will-andrew-yang-win-the-2028-democratic-presidential-nomination,,,"[""102504892414163237174864879683522880588750452841477290216845150938663289742135"", ""21234886083000978203440582985665409733123024063268807484684316771005736994028""]","[""Yes"", ""No""]","[""0.0055"", ""0.9945""]",0x450810ae738a0ff820d3248f2b24937f63fb8c8cf422ed2a915125adb4d9d3c8,True,False,27755146.289532,201777.60666500003,331093.10355,331093.10355,2028-11-07T00:00:00Z,0.001,5,,True,,2025-07-03T20:37:24.380612Z,2026-01-20T09:06:26.988602Z
553874,Will the Memphis Grizzlies win the 2026 NBA Finals?,will-the-memphis-grizzlies-win-the-2026-nba-finals,,,"[""14471701768196830630634668680091812585489580903183764961933738527738578243643"", ""24880818617132598688829402716541764724600685149042631991938921403533284241164""]","[""Yes"", ""No""]","[""0.0045"", ""0.9955""]",0xc094fd60c0a09ba0df48a086ef91e12390fa8777fcd9cb63c154e9622cb1d497,True,False,27426325.888215,3818882.900794,627922.27437,627922.27437,2026-07-01T00:00:00Z,0.001,5,,True,,2025-06-19T18:23:36.929001Z,2026-01-20T09:06:32.873722Z
